cuedc2_mid,cuedc2_rif,cuedc2_dig,cuedc2_par,cuedc2_erg
42.40383491297463,34.4014081952391,40.42922591877764,41.31824347067559,39.3435254466791
42.42255121751708,34.53792400807567,40.96000536955646,41.08249316238304,39.370462865393584
42.64868512332806,34.56181445934676,41.12021895886321,41.60319075495702,39.2818148930766
42.571530235353244,35.0950711758112,41.20641354485815,41.56797900664675,39.13575463393401
42.5255695371239,34.723463982994836,40.990399572069514,41.226481156082336,39.2019197240624
42.55855055489731,34.608147057296705,41.32911972593817,41.17177475285682,39.42181036636716
42.575193010265046,34.384739425412995,41.42010604182425,41.25069129933377,39.56025240735788
43.086748849971194,33.954178788929696,41.48838075583029,41.04104597418771,39.41196514880405
42.87023759033096,33.9776395034442,41.438024699136484,41.27986819067222,39.95051743865823
43.00309405342079,33.83624953055819,41.384491627631895,41.374916288192345,39.8352496526588
43.24654523886047,33.629096319049665,41.489758734417705,41.23048953688346,39.596613295786554
42.72751238816543,33.41097157990969,41.19819838476995,41.12894313828331,39.29944469573632
42.53291358178996,33.48348665164256,41.116458715829985,41.18396702010635,39.27680486400085
42.39610616233547,33.696135030663456,40.77726560447782,41.122648055436414,39.49553638703027
42.84534606691804,34.176012896662726,40.779348523987004,41.07238179240323,39.49286502721212
42.948793245440854,34.44678509112803,40.89345872666081,41.121903630851286,39.80168294351176
43.121084279824935,34.90496529643912,41.073701577715404,40.658718914983695,39.51995750775991
43.25026653060563,34.954331067802954,40.81012239348548,40.591216447042704,39.582832227614944
43.351054002444016,34.30280118210873,40.611182235267314,40.61817196352932,39.15581196102272
43.43348006729684,34.057373377451384,40.49655924346879,40.42688571665108,38.632217722669964
