cuedc2_rif,cuedc2_par,cuedc2_dig,cuedc2_mid,cuedc2_erg
18.49658637836441,19.298304152984176,14.551137258645102,14.873558682815188,14.295823266901376
18.74814893991551,19.249649650795128,14.629160467222686,14.713236901933195,14.261461608102492
19.017841630571187,19.109795308396468,14.68877261113731,14.168176574648069,14.27963806675808
19.353741743841884,18.951484772343907,14.666980190398604,14.013150858281726,14.448318871261366
19.27987271586049,18.651572460032494,14.390108037218353,14.16446801061663,14.456795637827378
19.210706445971375,18.704595305330987,14.484195697825959,14.003293035384297,14.37095459650922
19.427868721936132,18.914339576558305,14.71699280692135,14.27715531673453,14.27055649100738
19.627289177574912,18.812317508428286,14.581777091832626,14.401870781807633,14.361634310548013
19.87545664736858,18.481188704021,14.719211522547573,14.338078630733902,14.390615697403478
20.058666746417128,18.412841212160124,14.478956380550285,14.152352432457699,14.103200003753175
20.329334078388182,18.439574876754037,14.507336225182431,13.98365599803071,13.764719471764092
20.236611536530543,18.272837011176353,14.300337395448325,13.891291357931427,13.7019330851957
20.09888727063538,18.292196793140135,14.673055342223348,13.928828854701191,13.746584951913471
20.15191182631437,18.10773970583586,14.74689863573507,14.009259664499863,13.782499314163243
20.306793165489147,18.049419134760292,14.920870004942346,14.013388194480621,13.907957577484016
19.962162651909,18.12670649955693,15.156151040001257,14.03422100089524,14.38736006663294
20.22717546646619,17.99053969044559,15.425256601138912,13.551885586683534,14.334041616937759
20.93651349140838,17.516316201705916,15.24110914087628,13.340474976434267,14.535241441586875
21.363070918038115,17.482634490200464,15.243847338801357,13.44677196090921,14.473876440205796
21.273979437821016,17.45489542867649,15.400721996453056,13.060713136573654,14.481704900997187
21.22901911420753,17.53285323192658,15.59590065284795,12.954259347991233,14.643589980430928
21.22889249251288,17.251311257356292,15.267788270005124,12.93343820056903,14.93573218619767
21.137103379817788,17.428012621293757,15.45598425218073,12.962676028891506,15.133543792807762
21.09533233419174,17.527810098782595,15.144993327033363,12.787858208494884,15.319797063228567
20.640031546524693,17.499780075356643,15.06062422142318,13.132353069554716,15.50946570944299
20.694322090069598,17.477430374263644,15.206459359788816,12.942858008674664,15.478905881271045
20.6439936209772,17.280559678866133,15.25721005110156,13.029049160844375,15.539920910320427
20.798098731526725,17.453707808701214,15.121173457190302,12.879729772748274,15.515419662591782
20.73015528266504,17.2706141937096,14.903727771388322,12.669531328837436,15.56024296090747
20.510016934530253,17.21692978307131,14.604185062475162,12.660959103661027,15.200809594342346
20.77448130568321,17.52073734960294,15.007628879758638,12.869784464153447,15.238517190089883
20.830736362407162,17.29312800963869,14.655538474010532,12.631644524403775,15.225085291451148
20.81576633530594,17.25628949919183,14.639785131314282,12.994992414517961,14.84688849949806
20.99655408657411,16.879573120723222,14.747118147430776,13.258597097033801,14.827184148833101
20.951889392367207,16.79437844382021,14.690945191303049,13.012374075912362,14.923957331638775
21.085720787028855,16.674498347140112,14.49716676914558,12.787313957996004,14.99765696123024
20.925858825645783,16.804614032412623,14.147467584751558,12.612770611288127,15.093618593527413
20.87335502757815,16.757812634219235,14.231547068567142,12.976972265959354,15.508042216681027
20.675560778094347,16.768693622074256,14.404256516835126,12.542045172638266,15.488698998004695
20.906573704224996,16.286958772655282,14.514615123746013,12.779630283957744,15.804595813817413
